Name,EmployeId,Gender,Age,MaritalStatus,EducationField,Qualifications,Vertical,Role,Work Experience,DistanceFromHome,Daily,Hour,Monthly,MonthlyRate,OverTime,Hours,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,TrainingTimesLastYear,Turnover,Travelling,Satisfaction,Engagement,JobLevel,Last Rating,SalaryHike,Work&Life
Aaliyah,IDSL227,F,40,Single,Medical,3,Sales,Sales Executive,1,2,129,97,6287,4984,Yes,80,13,8,4,1,1,No,Sometimes,4,2,2,4,23,3
Aaron,IDSL030,M,46,Married,Marketing,4,Sales,Sales Executive,9,23,134,64,4866,24079,No,80,8,7,7,7,2,No,No,4,3,2,3,18,3
Abby,IDRD581,F,49,Single,Medical,3,Research & Development,Research Director,5,13,934,82,19833,25706,Yes,80,7,7,0,7,2,No,Sometimes,4,3,4,3,14,4
Abel,IDRD633,M,29,Married,Life Sciences,5,Research & Development,Healthcare Representative,1,13,1201,32,7854,3642,No,80,10,9,1,8,3,No,Sometimes,4,3,3,3,19,2
Abigail,IDRD122,F,54,Married,Medical,3,Research & Development,Research Director,2,1,1478,42,18731,13254,No,80,6,2,0,1,3,No,Sometimes,1,1,4,3,13,3
Abraham,IDRD438,M,49,Divorced,Life Sciences,1,Research & Development,Healthcare Representative,3,1,1169,89,13156,11590,No,80,1,0,0,0,3,No,Mostly,1,2,5,3,13,2
Ada,IDRD429,F,33,Single,Life Sciences,4,Research & Development,Healthcare Representative,1,9,1378,36,4222,16148,No,80,6,5,0,7,2,No,Sometimes,4,2,2,3,15,3
Adam,IDRD067,M,40,Single,Life Sciences,3,Research & Development,Research Scientist,5,4,541,73,2109,12341,No,80,3,1,2,0,3,No,No,3,3,1,4,24,3
Addie,IDSL343,F,35,Single,Medical,1,Sales,Human Resources,5,2,1112,84,3644,13423,Yes,80,1,0,0,0,2,Yes,Sometimes,3,3,1,3,13,3
Addison,IDSL177,F,29,Married,Marketing,3,Sales,Sales Executive,7,20,156,100,5262,14152,No,80,5,2,0,3,1,No,Sometimes,1,3,2,3,15,3
